날짜,통합
2001-04-01,50.7053983530246
2001-05-01,52.5523643840022
2001-06-01,51.2473849194355
2001-07-01,47.4283392456902
2001-08-01,42.2931996917762
2001-09-01,44.5406691994361
2001-10-01,46.9313044150608
2001-11-01,47.1390509780127
2001-12-01,56.2843923715158
2002-01-01,58.1168631978579
2002-02-01,52.127754282797
2002-03-01,50.5000300315061
2002-04-01,46.7547208910869
2002-05-01,48.2378051870685
2002-06-01,39.2020175607079
2002-07-01,40.0638131186597
2002-08-01,36.0815730735463
2002-09-01,40.7557052407713
2002-10-01,46.313210423025
2002-11-01,53.9463200644648
2002-12-01,54.1105249370024
2003-01-01,55.4580855564851
2003-02-01,54.9951914766338
2003-03-01,56.6123063892043
2003-04-01,55.8944262061617
2003-05-01,57.0428836116966
2003-06-01,50.3326866870172
2003-07-01,40.0110110765285
2003-08-01,37.8984810777112
2003-09-01,42.7191776481367
2003-10-01,47.4170561944624
2003-11-01,50.8563401565047
2003-12-01,55.8081991464019
2004-01-01,54.8081100464857
2004-02-01,60.3434751651831
2004-03-01,60.3490015786814
2004-04-01,57.2610582856979
2004-05-01,54.1360824915949
2004-06-01,52.4771521071888
2004-07-01,49.7190778651185
2004-08-01,46.675971519038
2004-09-01,49.7673369516456
2004-10-01,58.7437683382685
2004-11-01,60.9158974671901
2004-12-01,63.6049578108449
2005-01-01,67.2175059183735
2005-02-01,62.8545489399052
2005-03-01,61.7198574470179
2005-04-01,52.4021706242771
2005-05-01,47.008806353874
2005-06-01,52.8477591248188
2005-07-01,55.3561086871434
2005-08-01,54.045566412206
2005-09-01,63.4873829253822
2005-10-01,64.2936349898882
2005-11-01,76.2849347162206
2005-12-01,81.093094984345
2006-01-01,81.1554438381966
2006-02-01,82.6366090666223
2006-03-01,85.4929057509421
2006-04-01,83.4437585727776
2006-05-01,81.747798168626
2006-06-01,71.7601359828139
2006-07-01,65.3009107055877
2006-08-01,73.517379399514
2006-09-01,74.43
2006-10-01,69.92
2006-11-01,87.61
2006-12-01,89.63
2007-01-01,86.4478283816205
2007-02-01,82.6894326679821
2007-03-01,88.8865046658076
2007-04-01,82.616902354283
